trial_id,room,target_object,nav_command,approach_command,parsed_nav,parsed_approach,parsing_success,navigation_success,nav_final_error_m,description,description_success,approach_arrived,grounding_correct,approach_final_distance_m,approach_success,end_to_end_success,parsing_latency_s,navigation_latency_s,description_latency_s,approach_latency_s,parse_calls,vision_calls,approach_calls,input_tokens,output_tokens,parser_models,total_cost_usd,failure_reason,evidence,notes
E11,2,red fire hydrant,Could you check room two please?,Please go and stand next to the red fire hydrant.,"{""action"": ""goto_room"", ""room"": 2}","{""action"": ""approach"", ""object"": ""red fire hydrant""}",True,True,0.230,"A red fire hydrant stands centrally on the grey floor, flanked by a grey vertical pole to its right. To the left and right are brick walls with reddish-brown bricks and white mortar; behind the hydrant is a light wooden wall with a recessed shelf unit and a narrow vertical window opening. A partial black object (possibly a trash bin) is visible at the far right edge.",True,False,,1.571,,,2.03,49.80,1.89,59.58,2,1,4,3869,225,qwen-plus / qwen-plus,0.00 (free tier),vlm_timeout,evaluation/e2e_evidence/E11_description.jpg | /home/alex/EE4705/evaluation/task4_evidence/chat/attempt-sdr78d4r,VLM grounding timed out at the start of the network outage that hit E12-E18; rerun as E11r
E12,2,fire hydrant,Please navigate to room number 2.,Please go and stand next to the fire hydrant.,"{""action"": ""chat"", ""reply"": ""Sorry, I could not understand that request. Please try again.""}","{""action"": ""chat"", ""reply"": ""Sorry, I could not understand that request. Please try again.""}",False,False,3.390,,False,False,False,1.571,False,False,27.98,0.00,0.00,0.00,8,0,0,0,0,failed / failed,0.00 (free tier),, | ,"network outage: parser calls failed with ""Connection error"" (Qwen) and an SSL certificate error (Gemini); not a robot failure; rerun as E12r"
E13,5,human figure,I'd like you to visit Room 5.,Move to the human figure.,"{""action"": ""chat"", ""reply"": ""Sorry, I could not understand that request. Please try again.""}","{""action"": ""chat"", ""reply"": ""Sorry, I could not understand that request. Please try again.""}",False,False,4.051,,False,False,False,5.884,False,False,12.26,0.00,0.00,0.00,8,0,0,0,0,failed / failed,0.00 (free tier),, | ,"network outage: parser calls failed with ""Connection error"" (Qwen) and an SSL certificate error (Gemini); not a robot failure; rerun as E13r"
E14,4,car wheel,I'd like you to visit Room 4.,Please go and stand next to the car wheel.,"{""action"": ""chat"", ""reply"": ""Sorry, I could not understand that request. Please try again.""}","{""action"": ""chat"", ""reply"": ""Sorry, I could not understand that request. Please try again.""}",False,False,9.721,,False,False,False,12.711,False,False,12.27,0.00,0.00,0.00,8,0,0,0,0,failed / failed,0.00 (free tier),, | ,"network outage: parser calls failed with ""Connection error"" (Qwen) and an SSL certificate error (Gemini); not a robot failure; rerun as E14r"
E15,2,hydrant,Take me to room two. What is there?,Please go and stand next to the hydrant.,"{""action"": ""chat"", ""reply"": ""Sorry, I could not understand that request. Please try again.""}","{""action"": ""chat"", ""reply"": ""Sorry, I could not understand that request. Please try again.""}",False,False,3.390,,False,False,False,1.571,False,False,12.29,0.00,0.00,0.00,8,0,0,0,0,failed / failed,0.00 (free tier),, | ,"network outage: parser calls failed with ""Connection error"" (Qwen) and an SSL certificate error (Gemini); not a robot failure; rerun as E15r"
E16,5,person,I'd like you to visit Room 5.,Can you get close to the person?,"{""action"": ""chat"", ""reply"": ""Sorry, I could not understand that request. Please try again.""}","{""action"": ""chat"", ""reply"": ""Sorry, I could not understand that request. Please try again.""}",False,False,4.051,,False,False,False,5.882,False,False,12.71,0.00,0.00,0.00,8,0,0,0,0,failed / failed,0.00 (free tier),, | ,"network outage: parser calls failed with ""Connection error"" (Qwen) and an SSL certificate error (Gemini); not a robot failure; rerun as E16r"
E17,5,person,Take me to room five. What is there?,Move to the person.,"{""action"": ""chat"", ""reply"": ""Sorry, I could not understand that request. Please try again.""}","{""action"": ""chat"", ""reply"": ""Sorry, I could not understand that request. Please try again.""}",False,False,4.051,,False,False,False,5.882,False,False,12.48,0.00,0.00,0.00,8,0,0,0,0,failed / failed,0.00 (free tier),, | ,"network outage: parser calls failed with ""Connection error"" (Qwen) and an SSL certificate error (Gemini); not a robot failure; rerun as E17r"
E18,2,fire hydrant,Could you check room two please?,Approach the fire hydrant.,"{""action"": ""chat"", ""reply"": ""Sorry, I could not understand that request. Please try again.""}","{""action"": ""approach"", ""object"": ""fire hydrant""}",False,False,3.390,,False,True,,0.702,,,12.98,0.00,0.00,11.13,7,0,2,2076,85,failed / qwen-plus,0.00 (free tier),, | /home/alex/EE4705/evaluation/task4_evidence/chat/attempt-cu0ze1a4,"network outage: parser calls failed with ""Connection error"" (Qwen) and an SSL certificate error (Gemini); not a robot failure; rerun as E18r"
E19,6,grey block,Could you check room six please?,Can you get close to the grey block?,"{""action"": ""goto_room"", ""room"": 6}","{""action"": ""approach"", ""object"": ""grey block""}",True,True,0.050,"Two dark gray cylindrical table legs with a shared metallic base stand on a light gray floor. To the left is a red brick wall section, and to the right and rear are light brown wooden panel walls; a small black rectangular object rests against the rear wall near the legs.",False,False,True,2.191,False,False,1.27,79.60,1.80,77.41,2,1,4,4496,209,qwen-plus / qwen-plus,0.00 (free tier),robot_moved_during_perception,evaluation/e2e_evidence/E19_description.jpg | /home/alex/EE4705/evaluation/task4_evidence/chat/attempt-so4yhfg9,description: cinder block not named (keyword 'brick' matched the brick wall); grounding: block (behind the table pedestal) boxed in frames 0-2; aborted: robot moved during perception
E20,6,grey block,Take me to room six. What is there?,Can you get close to the grey block?,"{""action"": ""goto_room"", ""room"": 6}","{""action"": ""approach"", ""object"": ""grey block""}",True,True,0.044,"A red brick wall with horizontal mortar lines occupies the left side, adjacent to a white vertical panel. Two grey cylindrical table legs with flat square bases stand on a light grey floor, near a wooden-paneled wall in the background.",False,False,True,3.393,False,False,1.28,19.60,1.99,161.62,2,1,2,3169,146,qwen-plus / qwen-plus,0.00 (free tier),path_blocked,evaluation/e2e_evidence/E20_description.jpg | /home/alex/EE4705/evaluation/task4_evidence/chat/attempt-21nw3r05,the approach left the robot wedged on the table base plate (below the 0.13 m laser plane); description: cinder block not named (keyword 'brick' matched the brick wall); grounding: block boxed in both frames; the table pedestal blocked the straight path
E11r,2,red fire hydrant,Could you check room two please?,Please go and stand next to the red fire hydrant.,"{""action"": ""goto_room"", ""room"": 2}","{""action"": ""chat"", ""reply"": ""I cannot approach a fire hydrant because fire hydrants are typically outdoors and fixed to the ground, and I am an indoor robot. Also, there is no fire hydrant inside the house.""}",False,False,8.818,,False,False,False,13.716,False,False,2.92,221.91,0.00,0.00,2,0,0,1439,63,qwen-plus / qwen-plus,0.00 (free tier),, | ,"robot wedged on the room 6 table base plate after E20 (Nav2: failed to make progress; spin/backup timed out); not a fresh start, rerun as E11r2 after a simulation restart"
E12r,2,fire hydrant,Please navigate to room number 2.,Please go and stand next to the fire hydrant.,"{""action"": ""goto_room"", ""room"": 2}","{""action"": ""chat"", ""reply"": ""I cannot locate or approach a fire hydrant \u2014 it is not present in the indoor environment of this house. Please let me know if you'd like me to navigate to one of the six rooms instead.""}",False,False,8.821,,False,False,False,13.718,False,False,1.95,232.43,0.00,0.00,2,0,0,1440,65,qwen-plus / qwen-plus,0.00 (free tier),, | ,"robot wedged on the room 6 table base plate after E20 (Nav2: failed to make progress; spin/backup timed out); not a fresh start, rerun as E12r2 after a simulation restart"
E11r2,2,red fire hydrant,Could you check room two please?,Please go and stand next to the red fire hydrant.,"{""action"": ""goto_room"", ""room"": 2}","{""action"": ""approach"", ""object"": ""red fire hydrant""}",True,True,0.236,"A red fire hydrant stands centrally on the grey floor, flanked by a tall grey pole to its right. To the left is a multicolored brick wall (red, yellow, brown bricks with blue mortar), and behind the hydrant are wooden-paneled walls and a light-wood shelving unit. A partial black object appears at the far right edge.",True,True,True,0.693,True,True,2.25,42.00,1.82,39.80,2,1,5,5190,290,qwen-plus / qwen-plus,0.00 (free tier),,evaluation/e2e_evidence/E11r2_description.jpg | /home/alex/EE4705/evaluation/task4_evidence/chat/attempt-iaemn2j1,grounding: hydrant boxed in every frame
E12r2,2,fire hydrant,Please navigate to room number 2.,Please go and stand next to the fire hydrant.,"{""action"": ""goto_room"", ""room"": 2}","{""action"": ""approach"", ""object"": ""fire hydrant""}",True,True,0.044,"A red fire hydrant stands on the right side of the scene, adjacent to a light wooden wall and near a narrow white vertical strip (possibly a door frame). Centrally, there is a brick-patterned wall section with reddish-brown bricks and yellowish mortar, flanked by wooden surfaces on left and right; the floor is a uniform gray. No other objects are clearly visible.",True,True,True,0.696,True,True,1.37,34.47,1.75,38.55,2,1,5,5192,290,qwen-plus / qwen-plus,0.00 (free tier),,evaluation/e2e_evidence/E12r2_description.jpg | /home/alex/EE4705/evaluation/task4_evidence/chat/attempt-4wljg5_7,grounding: hydrant boxed in every frame
E13r2,5,human figure,I'd like you to visit Room 5.,Move to the human figure.,"{""action"": ""goto_room"", ""room"": 5}","{""action"": ""approach"", ""object"": ""human figure""}",True,True,0.236,"Two white vertical pipes stand side by side on a small grey rectangular base, positioned near the corner where a light brown wooden wall meets a lighter wooden surface (possibly a shelf or countertop). The floor is plain grey, and the background wall has a darker wood grain pattern.",False,False,False,2.100,False,False,1.18,25.36,2.46,29.25,2,1,8,7147,227,qwen-plus / qwen-plus,0.00 (free tier),object_not_found_search_limit,evaluation/e2e_evidence/E13r2_description.jpg | /home/alex/EE4705/evaluation/task4_evidence/chat/attempt-sd_3v0j2,grounding: mannequin legs in view in frame 0 but not found; search then failed; description: mannequin called 'two white vertical pipes'
E14r2,4,car wheel,I'd like you to visit Room 4.,Please go and stand next to the car wheel.,"{""action"": ""goto_room"", ""room"": 4}","{""action"": ""chat"", ""reply"": ""I cannot approach or stand next to the car wheel, as it is part of my own body (a robot wheel). I\u2019m already positioned such that it\u2019s visible in the scene \u2014 I\u2019m stationary in Room 4.""}",False,True,0.048,"A black robot wheel with a textured tread is visible near the right edge, resting against a red brick wall. Adjacent to the wall is a light brown wooden floor, and above it a white vertical surface (likely a wall or panel) meets the wood at a right angle. The foreground is a uniform gray surface, possibly a table or platform.",True,False,False,3.049,False,False,2.05,80.13,1.87,0.00,2,1,0,1870,140,qwen-plus / qwen-plus,0.00 (free tier),,evaluation/e2e_evidence/E14r2_description.jpg | ,"description: names the wheel (calls it a 'robot wheel', which then misled the parser)"
E15r2,2,hydrant,Take me to room two. What is there?,Please go and stand next to the hydrant.,"{""action"": ""goto_room"", ""room"": 2}","{""action"": ""approach"", ""object"": ""fire hydrant""}",True,True,0.238,"A red fire hydrant stands centrally on the grey floor, near a vertical grey pole to its right. To the left is a multicolored brick wall (red, yellow, purple bricks), and behind the hydrant are light wooden walls with a recessed shelf unit on the right and a narrow white doorway on the left.",True,True,True,0.697,True,True,1.15,36.61,1.78,40.16,2,1,6,5844,312,qwen-plus / qwen-plus,0.00 (free tier),,evaluation/e2e_evidence/E15r2_description.jpg | /home/alex/EE4705/evaluation/task4_evidence/chat/attempt-q2aflhrk,grounding: hydrant boxed in every frame
E16r2,5,person,I'd like you to visit Room 5.,Can you get close to the person?,"{""action"": ""goto_room"", ""room"": 5}","{""action"": ""visual_question"", ""question"": ""Can you get close to the person?""}",False,True,0.237,"Two white vertical pipes with grey base connectors stand on a light grey floor, adjacent to a wooden wall and a wooden beam extending diagonally from the right. The wood has a warm brown tone with visible grain; the pipes are positioned near the corner where the wall meets the beam.",False,False,False,2.101,False,False,1.34,26.00,1.65,0.00,2,1,0,1854,90,qwen-plus / qwen-plus,0.00 (free tier),,evaluation/e2e_evidence/E16r2_description.jpg | ,description: mannequin called 'two white vertical pipes'
E17r2,5,person,Take me to room five. What is there?,Move to the person.,"{""action"": ""goto_room"", ""room"": 5}","{""action"": ""chat"", ""reply"": ""I cannot detect or navigate to a person \u2014 my current capabilities allow me to go only to Rooms 1 through 6, describe the scene, answer visual questions, or approach named objects (e.g., 'cup', 'chair'). Could you clarify or specify a room or object instead?""}",False,True,0.237,"Two white vertical pipes emerge from a small grey base on the floor, positioned near a wooden wall and a light brown wooden beam extending diagonally across the upper right. The floor is uniform grey, and the wood surfaces show visible grain patterns. No other objects are clearly visible.",False,False,False,2.101,False,False,2.40,0.42,1.46,0.00,2,1,0,1850,138,qwen-plus / qwen-plus,0.00 (free tier),,evaluation/e2e_evidence/E17r2_description.jpg | ,description: mannequin called 'two white vertical pipes'
E18r2,2,fire hydrant,Could you check room two please?,Approach the fire hydrant.,"{""action"": ""goto_room"", ""room"": 2}","{""action"": ""approach"", ""object"": ""fire hydrant""}",True,True,0.047,"A red fire hydrant stands on the right side of the scene, next to a wooden wall with a narrow white vertical strip. In the center is a brick wall section with reddish-brown and yellow bricks, flanked by light brown wooden panels; a dark brown rectangular object is partially visible on the far left.",True,True,True,0.690,True,True,1.14,51.00,1.71,38.76,2,1,5,5169,274,qwen-plus / qwen-plus,0.00 (free tier),,evaluation/e2e_evidence/E18r2_description.jpg | /home/alex/EE4705/evaluation/task4_evidence/chat/attempt-voqdb7gs,grounding: hydrant boxed in every frame
