run,trial_id,target,gazebo_model,start_pose_world,start_distance_m,start_bearing_deg,planned_visible,initially_visible,grounding_correct,arrived,success,final_distance_m,final_laser_range_m,time_s,api_calls,input_tokens,output_tokens,search_rotation_deg,failure_reason,model,evidence_dir,notes
2,T10,person,ragdoll,"(-6.30, 0.12, -105 deg)",3.18,+1,True,True,True,True,True,0.435,0.546,24.2,4,2644,132,0,,qwen3-vl-plus,evaluation/task4_evidence/trials/run2/attempt-be9jk4ei,I am now next to the person. Grounding: figure boxed in all 4 frames (legs only from frame 1)
2,T11,person,ragdoll,"(-6.46, -1.96, -30 deg)",1.23,-89,False,False,True,False,False,0.388,0.898,59.0,16,10576,304,629,object_not_found_search_limit,qwen3-vl-plus,evaluation/task4_evidence/trials/run2/attempt-bwqascgm,"Sorry, I could not find the person after turning a full circle. Grounding: figure out of view in frames 0-5; boxed in 6-7 (frame 7: one leg); not found in frames 8-15 at 0.4 m where only the feet show"
2,T12,person,ragdoll,"(-5.71, -0.66, -105 deg)",2.72,-14,True,True,True,False,False,0.411,0.895,50.0,11,7271,235,359,object_not_found_search_limit,qwen3-vl-plus,evaluation/task4_evidence/trials/run2/attempt-9xjx6env,"Sorry, I could not find the person after turning a full circle. Grounding: figure boxed in frames 0-2 (frame 2: one leg); not found in frames 3-10 at 0.4 m where only the feet show"
3,T01,fire hydrant,fire_hydrant,"(-3.08, 3.46, -180 deg)",3.50,-0,True,True,True,True,True,0.697,0.544,27.2,4,2652,143,0,,qwen3-vl-plus,evaluation/task4_evidence/trials/run3/attempt-ex2u_stz,I am now next to the fire hydrant. Grounding: hydrant boxed in all 4 frames
3,T02,fire hydrant,fire_hydrant,"(-4.41, 2.21, 170 deg)",2.50,-20,True,True,True,True,True,0.685,0.528,18.0,3,1989,106,0,,qwen3-vl-plus,evaluation/task4_evidence/trials/run3/attempt-c_c2o3bg,I am now next to the fire hydrant. Grounding: hydrant boxed in all 3 frames
3,T03,fire hydrant,fire_hydrant,"(-6.58, 0.46, -90 deg)",3.00,+180,False,False,True,True,True,0.698,0.539,39.3,8,5304,220,180,,qwen3-vl-plus,evaluation/task4_evidence/trials/run3/attempt-60um6pcu,"I am now next to the fire hydrant. Grounding: hydrant out of view in frames 0-3, boxed in 4-7"
3,T04,car wheel,car_wheel,"(4.34, 0.97, -15 deg)",3.00,+0,True,True,True,True,True,0.593,0.540,20.3,3,1986,105,0,,qwen3-vl-plus,evaluation/task4_evidence/trials/run3/attempt-h4ddycp9,I am now next to the car wheel. Grounding: wheel boxed in all 3 frames
3,T05,car wheel,car_wheel,"(6.46, 3.09, -50 deg)",3.00,-25,True,True,True,True,True,0.726,0.579,21.5,3,1986,106,0,,qwen3-vl-plus,evaluation/task4_evidence/trials/run3/attempt-h16_zr9h,I am now next to the car wheel. Grounding: wheel boxed in all 3 frames
3,T06,car wheel,car_wheel,"(5.12, 2.31, 75 deg)",2.99,-120,False,False,True,True,True,0.679,0.565,42.0,9,5958,229,225,,qwen3-vl-plus,evaluation/task4_evidence/trials/run3/attempt-lp13mwro,"I am now next to the car wheel. Grounding: wheel out of view in frames 0-4, boxed in 5-8"
3,T07,cinder block,cinder_block,"(6.44, -1.51, -90 deg)",3.50,-0,True,True,True,True,True,0.606,0.551,70.2,4,2652,130,0,,qwen3-vl-plus,evaluation/task4_evidence/trials/run3/attempt-r7zqa2gh,"I am now next to the cinder block. Grounding: block (behind the table pedestal) boxed in frames 0-2; lost at 0.55 m in frame 3, laser-confirmed arrival"
3,T08,cinder block,cinder_block,"(5.79, -2.60, 105 deg)",2.50,-180,False,False,True,False,False,1.924,1.803,22.4,6,3978,150,180,obstacle_during_turn,qwen3-vl-plus,evaluation/task4_evidence/trials/run3/attempt-7l8xme_3,"Sorry, I stopped because something is blocking the way to the cinder block. Grounding: block out of view in frames 0-3, boxed in 4-5"
3,T09,cinder block,cinder_block,"(5.44, -3.28, -80 deg)",2.00,+20,True,True,True,True,True,0.687,0.563,17.7,3,1989,110,0,,qwen3-vl-plus,evaluation/task4_evidence/trials/run3/attempt-bsvajhba,I am now next to the cinder block. Grounding: block boxed in all 3 frames
3,T10,person,ragdoll,"(-6.30, 0.12, -105 deg)",3.18,+1,True,True,True,True,True,0.440,0.538,28.1,4,2644,132,0,,qwen3-vl-plus,evaluation/task4_evidence/trials/run3/attempt-mso_fheh,I am now next to the person. Grounding: figure boxed in all 4 frames
3,T11,person,ragdoll,"(-6.46, -1.96, -30 deg)",1.23,-88,False,False,True,True,True,0.468,0.545,42.6,8,5288,168,270,,qwen3-vl-plus,evaluation/task4_evidence/trials/run3/attempt-imqqeod9,"I am now next to the person. Grounding: figure out of view in frames 0-5, boxed in 6-7"
3,T12,person,ragdoll,"(-5.71, -0.66, -105 deg)",2.72,-14,True,True,True,False,False,0.351,0.912,55.7,11,7271,235,359,object_not_found_search_limit,qwen3-vl-plus,evaluation/task4_evidence/trials/run3/attempt-ktf2tc62,"Sorry, I could not find the person after turning a full circle. Grounding: figure boxed in frames 0-2 (frame 2: one leg); lost at 0.35 m; the laser check passed between its legs"
