trial_id,scene_id,image_path,model,question,expected_objects,reported_objects,correct_objects,missed_objects,hallucinated_objects,latency_s,cost_usd,notes
scene-001-qwen,scene-001,evaluation/scenes/comparison/scene-001.jpg,qwen3-vl-plus,scene description,human figure; bookshelf,"A red-and-brown brick wall is on the left, adjacent to a plain wooden door with a small rectangular window. To the right of the door stands a tall, slender silver pole with a white spherical top, next to an open wooden cabinet with two shelves. The floor is uniform gray, and the back wall is light gray.",bookshelf,human figure,,2.049,,"tokens in=359 out=68 retries=0; manually verified against the image: distant figure described as ""silver pole with a white spherical top""; wooden panel with a cut-out called a door (exists); cabinet/trash-can flags false"
scene-002-qwen,scene-002,evaluation/scenes/comparison/scene-002.jpg,qwen3-vl-plus,scene description,fire hydrant,"A red fire hydrant stands on the right side of the scene, adjacent to a light wooden wall. In the center is a brick wall section with reddish-brown and yellow bricks, flanked by wooden panels on both sides; a narrow white vertical strip is visible just left of the fire hydrant. The floor is a uniform gray surface.",fire hydrant,,,1.783,,tokens in=359 out=71 retries=0; manually verified against the image: white strip = the window beside the hydrant
scene-003-qwen,scene-003,evaluation/scenes/comparison/scene-003.jpg,qwen3-vl-plus,scene description,trash can,"A black cylindrical trash bin stands on the left side of a grey floor, adjacent to a red brick wall with some yellow and brown bricks. The corner formed by two brick walls is visible on the right, and no other objects are clearly present.",trash can,,,1.533,,tokens in=359 out=50 retries=0; manually verified against the image
scene-004-qwen,scene-004,evaluation/scenes/comparison/scene-004.jpg,qwen3-vl-plus,scene description,car wheel,"A single black rubber wheel with a textured tread lies on the grey floor near a wooden wall panel. To its right stands a red brick pillar with a white rectangular opening, and another brick wall is visible further right. The scene includes two distinct wall types: wood-paneled on the left and brick on the right.",car wheel,,,2.159,,tokens in=359 out=64 retries=0; manually verified against the image
scene-005-qwen,scene-005,evaluation/scenes/comparison/scene-005.jpg,qwen3-vl-plus,scene description,human figure,"Two vertical grey cylindrical pipes stand side by side on a small grey rectangular base, positioned near the corner where a brown wooden wall meets a lighter wooden surface (possibly a shelf or door frame). The floor is plain grey, and no other objects are visible.",,human figure,,1.438,,"tokens in=359 out=52 retries=0; manually verified against the image: figure legs described as ""two grey cylindrical pipes""; ""possibly a shelf or door frame"" is a hedge about a real wooden surface (false flag)"
scene-006-qwen,scene-006,evaluation/scenes/comparison/scene-006.jpg,qwen3-vl-plus,scene description,cinder block; table,"Two dark grey cylindrical legs with flat square bases stand on a light grey floor, supporting a black overhead surface. To the left is a red brick wall partially covered by a white rectangular panel; to the right is a light brown wooden wall with visible grain. A small dark rectangular object sits near the base of the right leg.",,cinder block; table,,2.077,,"tokens in=359 out=66 retries=0; manually verified against the image: table described but not named (""legs ... supporting a black overhead surface""); cinder block described but not named (""small dark rectangular object""); ""legs"" flag false"
scene-007-qwen,scene-007,evaluation/scenes/comparison/scene-007.jpg,qwen3-vl-plus,scene description,bookshelf,"A wooden cabinet with two open doors is visible, revealing an empty interior with a single horizontal shelf. The cabinet and shelf are light brown with visible wood grain; the floor beneath is flat and gray. No other objects are present in the frame.",bookshelf,,,1.987,,"tokens in=359 out=50 retries=0; manually verified against the image: bookshelf called ""wooden cabinet ... single horizontal shelf""; says ""two open doors"" (the side panels), an attribute error; cabinet/trash-can flags false"
scene-008-qwen,scene-008,evaluation/scenes/comparison/scene-008.jpg,qwen3-vl-plus,scene description,,"A red brick wall is visible on the left, with mortar lines in darker grey. To the right, there are multiple brown wooden panels and vertical posts forming a structure; at least three distinct wooden elements are visible, varying in width and depth. The floor is a uniform light grey, and the scene appears to be an indoor corner or passage.",,,,2.678,,tokens in=359 out=70 retries=0; manually verified against the image
scene-009-qwen,scene-009,evaluation/scenes/comparison/scene-009.jpg,qwen3-vl-plus,scene description,,"A red brick wall with light blue mortar occupies the left side of the image; bricks are arranged in a standard running bond pattern. To the right is a smooth, light-brown wooden surface (likely a door or cabinet panel) meeting the brick wall at a sharp corner. The floor is a uniform gray, visible at the bottom.",,,,1.707,,"tokens in=359 out=68 retries=0; manually verified against the image: ""likely a door or cabinet panel"" is a hedge about a real wooden wall (false flag)"
scene-010-qwen,scene-010,evaluation/scenes/comparison/scene-010.jpg,qwen3-vl-plus,scene description,,"A red and yellow brick wall occupies the right side of the image, with visible mortar lines. To the left, there is a light brown wooden structure—possibly furniture—with a vertical post and horizontal paneling. The floor is a uniform gray surface, and no other objects are clearly visible.",,,,1.810,,tokens in=359 out=59 retries=0; manually verified against the image
